"index","eventid","venueid","catid","dateid","eventname","starttime"
"1808","4712","117","9","1945","Jamboree in the Hills","2008-04-29T15:00:00.000"
"1809","5492","27","9","1945","Decemberists","2008-04-29T14:00:00.000"
"1810","1039","201","6","1945","Legally Blonde","2008-04-29T20:00:00.000"
"1811","3280","235","7","1945","The Country Girl","2008-04-29T19:30:00.000"
"1812","5154","86","9","1945","Ted Nugent","2008-04-29T14:00:00.000"
"1813","6617","1","9","1945","Lionel Richie","2008-04-29T19:30:00.000"
"1814","6634","58","9","1945","Seal","2008-04-29T19:00:00.000"
"1815","7336","38","9","1945",".38 Special","2008-04-29T19:30:00.000"
"1816","7838","45","9","1945","Billy Joel","2008-04-29T19:00:00.000"
"1817","7963","130","9","1945","LeAnn Rimes","2008-04-29T14:00:00.000"
"1818","1727","263","6","1945","Mystere Cirque du Soleil","2008-04-29T19:30:00.000"
"1819","1980","229","7","1945","Macbeth","2008-04-29T15:00:00.000"
"1820","4120","20","9","1945","Goo Goo Dolls","2008-04-29T19:00:00.000"
"1821","5565","20","9","1945","George Jones","2008-04-29T15:00:00.000"
"1822","6238","127","9","1945","Taylor Swift","2008-04-29T19:00:00.000"
"1823","7829","15","9","1945","Foreigner","2008-04-29T15:00:00.000"
"1824","7949","66","9","1945","Luis Miguel","2008-04-29T19:00:00.000"
"1825","568","216","6","1946","Fiddler on the Roof","2008-04-30T15:00:00.000"
"1826","7790","70","9","1946","Rock the Bells","2008-04-30T19:00:00.000"
"1827","3007","204","7","1946","To Be or Not To Be","2008-04-30T19:00:00.000"
"1828","3795","226","7","1946","Miss Julie","2008-04-30T14:30:00.000"
"1829","2795","219","7","1946","Young Frankenstein","2008-04-30T14:30:00.000"
"1830","3256","239","7","1946","The Tempest","2008-04-30T19:00:00.000"
"1831","4119","47","9","1946","American Idols Live","2008-04-30T15:00:00.000"
"1832","5327","77","9","1946","Bow Wow","2008-04-30T14:00:00.000"
"1833","7092","43","9","1946","Cute Is What We Aim For","2008-04-30T19:30:00.000"
"1834","1124","247","6","1947","Mary Poppins","2008-05-01T15:00:00.000"
"1835","2130","215","7","1947","Rhinoceros","2008-05-01T20:00:00.000"
"1836","8492","12","9","1947","Sara Evans","2008-05-01T19:00:00.000"
"1837","4662","96","9","1947","Wisin y Yandel","2008-05-01T15:00:00.000"
"1838","7889","8","9","1947","Green Day","2008-05-01T19:30:00.000"
"1839","1978","247","7","1947","Hedda Gabler","2008-05-01T14:30:00.000"
"1840","2637","208","7","1947","As You Like It","2008-05-01T14:00:00.000"
"1841","6291","128","9","1947","Rolling Stones","2008-05-01T15:00:00.000"
"1842","6358","28","9","1947","David Sanborn","2008-05-01T19:30:00.000"
"1843","8562","120","9","1947","Great Big Sea","2008-05-01T15:00:00.000"
"1844","483","303","8","1948","Eugene Onegin","2008-05-01T14:00:00.000"
"1845","3949","117","9","1948","Ringo Starr","2008-05-01T14:30:00.000"
"1846","8077","116","9","1948","Guitars and Saxes","2008-05-01T19:30:00.000"
"1847","1600","252","6","1948","Beatles LOVE","2008-05-01T19:00:00.000"
"1848","3107","246","7","1948","A Tale of Two Cities","2008-05-01T19:00:00.000"
"1849","4399","26","9","1948","Keith Urban","2008-05-01T19:30:00.000"
"1850","3159","243","7","1949","Hedda Gabler","2008-05-01T15:00:00.000"
"1851","3208","248","7","1949","Thurgood","2008-05-01T19:30:00.000"
"1852","4161","9","9","1949","Children of Bodom","2008-05-01T19:00:00.000"
"1853","6232","62","9","1949","Blind Melon","2008-05-01T15:00:00.000"
"1854","6504","114","9","1949","Blue Man Group How To Be A Megastar Tour","2008-05-01T19:30:00.000"
"1855","6740","51","9","1949","Gogol Bordello","2008-05-01T15:00:00.000"
"1856","8012","98","9","1949","Ringo Starr","2008-05-01T14:00:00.000"
"1857","3777","216","7","1949","Waiting for Godot","2008-05-01T20:00:00.000"
"1858","7215","19","9","1949","Sound Tribe Sector 9","2008-05-01T19:30:00.000"
"1859","8068","103","9","1949","Eric Clapton","2008-05-01T15:00:00.000"
"1860","8779","60","9","1949","El Tri","2008-05-01T14:00:00.000"
"1861","153","303","8","1949","Il Trovatore","2008-05-01T15:00:00.000"
"1862","524","211","6","1949","Pal Joey","2008-05-01T20:00:00.000"
"1863","4937","130","9","1949","Sheryl Crow","2008-05-01T19:00:00.000"
"1864","5612","66","9","1949","Natasha Bedingfield","2008-05-01T19:00:00.000"
"1865","5926","90","9","1949","Los Lonely Boys","2008-05-01T19:30:00.000"
"1866","6703","93","9","1949","Sugarland","2008-05-01T14:00:00.000"
"1867","678","207","6","1950","Jersey Boys","2008-05-01T14:30:00.000"
"1868","8242","130","9","1950","Rusted Root","2008-05-01T19:00:00.000"
"1869","1342","228","6","1950","A Catered Affair","2008-05-01T19:30:00.000"
"1870","1349","236","6","1950","Pal Joey","2008-05-01T19:00:00.000"
"1871","2405","217","7","1950","Wicked","2008-05-01T20:00:00.000"
"1872","6806","114","9","1950","Brooks and Dunn","2008-05-01T19:00:00.000"
"1873","7526","35","9","1950","Simple Plan","2008-05-01T15:00:00.000"
"1874","8461","130","9","1950","Lyle Lovett","2008-05-01T19:00:00.000"
"1875","519","205","6","1950","Oliver!","2008-05-01T15:00:00.000"
"1876","2540","204","7","1950","As You Like It","2008-05-01T19:30:00.000"
"1877","3017","240","7","1950","Rhinoceros","2008-05-01T14:00:00.000"
"1878","5547","74","9","1950","Tina Turner","2008-05-01T14:00:00.000"
"1879","7746","71","9","1950","Clint Black","2008-05-01T19:00:00.000"
"1880","1473","221","6","1951","The King and I","2008-05-01T20:00:00.000"
"1881","2949","230","7","1951","A Tale of Two Cities","2008-05-01T19:00:00.000"
"1882","4292","83","9","1951","Gary Allan","2008-05-01T19:00:00.000"
"1883","6584","95","9","1951",".38 Special","2008-05-01T14:00:00.000"
"1884","7331","93","9","1951","Def Leppard","2008-05-01T15:00:00.000"
"1885","7625","28","9","1951","The Police","2008-05-01T19:30:00.000"
"1886","1661","257","6","1951","Le Reve","2008-05-01T19:00:00.000"
"1887","7106","25","9","1951","The Whigs","2008-05-01T19:30:00.000"
"1888","4397","109","9","1951","Foreigner","2008-05-01T14:00:00.000"
"1889","5615","99","9","1951","G. Love and Special Sauce","2008-05-01T19:30:00.000"
"1890","342","303","8","1952","L Elisir d Amore","2008-05-01T20:00:00.000"
"1891","1126","239","6","1952","Mamma Mia!","2008-05-01T20:00:00.000"
"1892","2522","206","7","1952","August: Osage County","2008-05-01T20:00:00.000"
"1893","3755","207","7","1952","Rosencrantz and Guildenstern Are Dead","2008-05-01T14:00:00.000"
"1894","1699","258","6","1952","Spamalot","2008-05-01T19:00:00.000"
"1895","2338","243","7","1952","Glengarry Glen Ross","2008-05-01T14:00:00.000"
"1896","3847","17","9","1952","Gwen Stefani","2008-05-01T20:00:00.000"
"1897","11","302","8","1952","Doctor Atomic","2008-05-01T19:30:00.000"
"1898","4392","122","9","1952","Greg Kihn Band","2008-05-01T14:00:00.000"
"1899","6026","20","9","1952","Duffy","2008-05-01T15:00:00.000"
"1900","3170","231","7","1953","The Frogs","2008-05-01T14:30:00.000"
"1901","7034","116","9","1953","Sheryl Crow","2008-05-01T15:00:00.000"
"1902","7352","124","9","1953","Nas","2008-05-01T19:30:00.000"
"1903","2277","208","7","1953","The Glass Menagerie","2008-05-01T14:30:00.000"
"1904","3577","235","7","1953","To Be or Not To Be","2008-05-01T15:00:00.000"
"1905","7431","127","9","1953","Vicente Fernandez","2008-05-01T19:00:00.000"
"1906","4926","58","9","1953","Vicente Fernandez","2008-05-01T19:30:00.000"
"1907","354","308","8","1954","Thais","2008-05-01T14:00:00.000"
"1908","1148","242","6","1954","Jersey Boys","2008-05-01T19:00:00.000"
"1909","2005","227","7","1954","A Bronx Tale","2008-05-01T14:30:00.000"
"1910","3626","248","7","1954","A Tale of Two Cities","2008-05-01T19:00:00.000"
"1911","4052","85","9","1954","Kenny G","2008-05-01T20:00:00.000"
"1912","4500","20","9","1954","Eva Ayllon","2008-05-01T20:00:00.000"
"1913","7294","126","9","1954","Blake Shelton","2008-05-01T14:00:00.000"
"1914","7769","83","9","1954","Gipsy Kings","2008-05-01T14:00:00.000"
"1915","8530","123","9","1954","Ray Davies","2008-05-01T14:00:00.000"
"1916","1740","261","6","1954","Spamalot","2008-05-01T14:30:00.000"
"1917","2467","210","7","1954","The Country Girl","2008-05-01T19:30:00.000"
"1918","2902","248","7","1954","November","2008-05-01T14:00:00.000"
"1919","3384","220","7","1954","Rhinoceros","2008-05-01T14:30:00.000"
"1920","3981","9","9","1954","Brian McKnight","2008-05-01T14:00:00.000"
"1921","4387","10","9","1954","Sammy Hagar","2008-05-01T19:00:00.000"
"1922","7655","104","9","1954","Paul McCartney","2008-05-01T15:00:00.000"
"1923","7666","58","9","1954","Nofx","2008-05-01T19:00:00.000"
"1924","361","306","8","1954","Rusalka","2008-05-01T14:30:00.000"
"1925","527","216","6","1954","Mamma Mia!","2008-05-01T19:00:00.000"
"1926","1199","203","6","1954","The Phantom of the Opera","2008-05-01T19:30:00.000"
"1927","3024","248","7","1954","The Bacchae","2008-05-01T14:00:00.000"
"1928","6984","120","9","1954","Calibash","2008-05-01T19:00:00.000"
"1929","1412","212","6","1955","Kiss Me Kate","2008-05-01T14:30:00.000"
"1930","1960","205","7","1955","Miss Julie","2008-05-01T20:00:00.000"
"1931","2808","203","7","1955","Young Frankenstein","2008-05-01T19:30:00.000"
"1932","4653","53","9","1955","Boyz II Men","2008-05-01T14:00:00.000"
"1933","5672","43","9","1955","Greg Kihn Band","2008-05-01T15:00:00.000"
"1934","6147","14","9","1955","Bamboozle Left","2008-05-01T15:00:00.000"
"1935","7016","38","9","1955","Monsters of Rock","2008-05-01T19:30:00.000"
"1936","8750","29","9","1955","Rod Stewart","2008-05-01T19:00:00.000"
"1937","2791","249","7","1955","Wicked","2008-05-01T19:00:00.000"
"1938","8057","58","9","1955","Merle Haggard","2008-05-01T15:00:00.000"
"1939","8216","89","9","1955","Vans Warped Tour","2008-05-01T15:00:00.000"
"1940","1549","259","6","1955","Blue Man Group","2008-05-01T20:00:00.000"
"1941","4774","65","9","1955","War","2008-05-01T19:30:00.000"
"1942","4920","3","9","1955","Led Zeppelin","2008-05-01T19:30:00.000"
"1943","5293","89","9","1955","Trace Adkins","2008-05-01T14:00:00.000"
"1944","5443","21","9","1955","Patty Griffin","2008-05-01T19:30:00.000"
"1945","6585","34","9","1955","Led Zeppelin","2008-05-01T14:00:00.000"
"1946","8001","94","9","1955","N.E.R.D.","2008-05-01T14:00:00.000"
"1947","8248","42","9","1955","Alkaline Trio","2008-05-01T19:00:00.000"
"1948","565","235","6","1956","Billy Elliot the Musical","2008-05-01T14:30:00.000"
"1949","5732","130","9","1956","Celine Dion","2008-05-01T15:00:00.000"
"1950","5904","22","9","1956","Crosby Stills Nash","2008-05-01T14:00:00.000"
"1951","8119","95","9","1956","Flogging Molly","2008-05-01T19:00:00.000"
"1952","8427","123","9","1956",".38 Special","2008-05-01T19:00:00.000"
"1953","8787","27","9","1956","LeAnn Rimes","2008-05-01T19:30:00.000"
"1954","1182","246","6","1956","South Pacific","2008-05-01T14:00:00.000"
"1955","4440","71","9","1956","The Who","2008-05-01T14:30:00.000"
"1956","6592","106","9","1956","Fiction Plane","2008-05-01T14:00:00.000"
"1957","7571","30","9","1956","Dolly Parton","2008-05-01T15:00:00.000"
"1958","1528","259","6","1957","Folies Bergere","2008-05-01T14:00:00.000"
"1959","1757","262","6","1957","Legally Blonde","2008-05-01T15:00:00.000"
"1960","4626","76","9","1957","Alice Cooper","2008-05-01T19:30:00.000"
"1961","4884","47","9","1957","Keb Mo","2008-05-01T19:00:00.000"
"1962","8527","7","9","1957","Third Day","2008-05-01T14:00:00.000"
"1963","5894","106","9","1957","Counting Crows and Maroon 5","2008-05-01T19:00:00.000"
"1964","5906","17","9","1957","Kanye West","2008-05-01T14:00:00.000"
"1965","6484","7","9","1957","Vicente Fernandez","2008-05-01T19:00:00.000"
"1966","7899","101","9","1957","Tokio Hotel","2008-05-01T14:00:00.000"
"1967","1372","225","6","1957","South Pacific","2008-05-01T19:30:00.000"
"1968","3782","221","7","1957","To Be or Not To Be","2008-05-01T15:00:00.000"
"1969","4543","104","9","1957","Counting Crows and Maroon 5","2008-05-01T19:00:00.000"
"1970","4659","73","9","1957","Patty Griffin","2008-05-01T19:30:00.000"
"1971","6962","6","9","1957","Rick Springfield","2008-05-01T15:00:00.000"
"1972","2271","222","7","1958","Woyzeck","2008-05-01T15:00:00.000"
"1973","5831","25","9","1958","Dierks Bentley","2008-05-01T19:00:00.000"
"1974","8193","110","9","1958","Girl Talk","2008-05-01T19:30:00.000"
"1975","7466","6","9","1958","Hannah Montana","2008-05-01T19:00:00.000"
"1976","669","232","6","1958","Fiddler on the Roof","2008-05-01T14:00:00.000"
"1977","3217","233","7","1958","The Bacchae","2008-05-01T15:00:00.000"
"1978","3364","226","7","1958","Avenue Q","2008-05-01T14:30:00.000"
"1979","6371","88","9","1958","Gary Allan","2008-05-01T19:00:00.000"
"1980","172","304","8","1959","Adriana Lecouvreur","2008-05-01T19:00:00.000"
"1981","3938","21","9","1959","Country Thunder USA","2008-05-01T14:30:00.000"
"1982","5117","1","9","1959","Cute Is What We Aim For","2008-05-01T19:00:00.000"
"1983","7343","106","9","1959","Joshua Radin","2008-05-01T19:30:00.000"
"1984","7908","105","9","1959","Billy Joel","2008-05-01T14:00:00.000"
"1985","8145","57","9","1959","Cher","2008-05-01T14:00:00.000"
"1986","5374","98","9","1959","Soulfest","2008-05-01T19:30:00.000"
"1987","1351","240","6","1959","High School Musical","2008-05-01T14:00:00.000"
"1988","3312","232","7","1959","The Country Girl","2008-05-01T14:00:00.000"
"1989","4000","38","9","1959","Ray Lamontagne","2008-05-01T14:30:00.000"
"1990","4205","52","9","1959","Coheed and Cambria","2008-05-01T15:00:00.000"
"1991","4125","89","9","1960","Conor Oberst","2008-05-01T14:00:00.000"
"1992","6088","6","9","1960","Paul McCartney","2008-05-01T15:00:00.000"
"1993","6550","106","9","1960","Black Eyed Peas","2008-05-01T15:00:00.000"
"1994","7088","93","9","1960","Crue Fest","2008-05-01T19:30:00.000"
"1995","1866","217","7","1960","Rhinoceros","2008-05-01T14:30:00.000"
"1996","5192","65","9","1960","Bob Dylan","2008-05-01T19:00:00.000"
"1997","5667","10","9","1960","Eric Clapton","2008-05-01T14:00:00.000"
"1998","7780","108","9","1960","Patty Griffin","2008-05-01T14:00:00.000"
"1999","8726","31","9","1960","Tegan and Sara","2008-05-01T19:30:00.000"
"2000","3707","220","7","1960","The Tempest","2008-05-01T14:00:00.000"
"2001","5116","38","9","1960","Bootsy Collins","2008-05-01T19:30:00.000"
"2002","5208","76","9","1960","Michael McDonald","2008-05-01T14:00:00.000"
"2003","3533","226","7","1961","The Caretaker","2008-05-01T14:30:00.000"
"2004","4700","8","9","1961","Natasha Bedingfield","2008-05-01T14:00:00.000"
"2005","6246","127","9","1961","Old 97s","2008-05-01T19:00:00.000"
"2006","8124","90","9","1961","Madonna","2008-05-01T15:00:00.000"
"2007","8361","10","9","1961","Aimee Mann","2008-05-01T19:30:00.000"
"2008","8610","71","9","1961","Sugarland","2008-05-01T19:00:00.000"
"2009","1013","216","6","1961","Curtains","2008-05-01T14:30:00.000"
"2010","2674","201","7","1961","Rosencrantz and Guildenstern Are Dead","2008-05-01T19:30:00.000"
"2011","4309","51","9","1961","Iggy and the Stooges","2008-05-01T14:30:00.000"
"2012","6061","57","9","1961","Rancid","2008-05-01T19:30:00.000"
"2013","6474","42","9","1961","Ana Gabriel","2008-05-01T19:00:00.000"
"2014","522","221","6","1961","Legally Blonde","2008-05-01T14:00:00.000"
"2015","2057","219","7","1961","The Frogs","2008-05-01T15:00:00.000"
"2016","8380","46","9","1961","Cypress Hill","2008-05-01T19:00:00.000"
"2017","2974","211","7","1962","Wicked","2008-05-01T19:00:00.000"
"2018","7049","72","9","1962","Sound Tribe Sector 9","2008-05-01T19:30:00.000"
"2019","7132","11","9","1962","Dave Matthews Band","2008-05-01T15:00:00.000"
"2020","7720","90","9","1962","The Kooks","2008-05-01T15:00:00.000"
"2021","474","302","8","1962","La Rondine","2008-05-01T19:30:00.000"
"2022","1463","213","6","1962","Grease","2008-05-01T15:00:00.000"
"2023","3241","242","7","1962","Electra","2008-05-01T19:30:00.000"
"2024","3249","222","7","1962","Wicked","2008-05-01T19:00:00.000"
"2025","6016","79","9","1962","Fergie","2008-05-01T15:00:00.000"
"2026","6738","29","9","1962","The Whigs","2008-05-01T14:00:00.000"
"2027","7501","60","9","1962","Los Lonely Boys","2008-05-01T19:30:00.000"
"2028","5989","55","9","1962","Steve Winwood","2008-05-01T14:00:00.000"
"2029","7046","119","9","1962","Wallflowers","2008-05-01T15:00:00.000"
"2030","867","239","6","1963","Jersey Boys","2008-05-01T14:30:00.000"
"2031","2080","218","7","1963","Miss Julie","2008-05-01T19:30:00.000"
"2032","2315","204","7","1963","Waiting for Godot","2008-05-01T14:30:00.000"
"2033","3391","207","7","1963","The Country Girl","2008-05-01T15:00:00.000"
"2034","4891","92","9","1963","Rusted Root","2008-05-01T19:00:00.000"
"2035","4195","48","9","1963","Chris Botti","2008-05-01T20:00:00.000"
"2036","4729","28","9","1963","America","2008-05-01T19:00:00.000"
"2037","5897","80","9","1963","Vampire Weekend","2008-05-01T15:00:00.000"
"2038","5992","114","9","1963","Mariah Carey","2008-05-01T19:00:00.000"
"2039","5294","72","9","1963","Bruce Springsteen","2008-05-01T19:30:00.000"
"2040","7519","11","9","1963",".38 Special","2008-05-01T19:30:00.000"
"2041","431","303","8","1964","Thais","2008-05-01T14:30:00.000"
"2042","4257","10","9","1964","Lyle Lovett","2008-05-01T14:00:00.000"
"2043","5709","105","9","1964","Donna Summer","2008-05-01T19:00:00.000"
"2044","1550","252","6","1964","Blue Man Group","2008-05-01T19:30:00.000"
"2045","2972","209","7","1964","Macbeth","2008-05-01T14:30:00.000"
"2046","5808","11","9","1964","Ani DiFranco","2008-05-01T15:00:00.000"
"2047","6122","32","9","1964","Dropkick Murphys","2008-05-01T15:00:00.000"
"2048","7082","24","9","1964","John Hiatt","2008-05-01T19:00:00.000"
"2049","7755","53","9","1964","New Kids on the Block","2008-05-01T14:00:00.000"
"2050","2042","217","7","1964","The Seafarer","2008-05-01T19:30:00.000"
"2051","1589","261","6","1965","Le Reve","2008-05-01T19:30:00.000"
"2052","2624","213","7","1965","Wicked","2008-05-01T19:00:00.000"
"2053","4274","102","9","1965","Lollapalooza","2008-05-01T19:00:00.000"
"2054","6512","56","9","1965","Natasha Bedingfield","2008-05-01T19:00:00.000"
"2055","7998","72","9","1965","Neil Diamond","2008-05-01T19:30:00.000"
"2056","192","308","8","1965","Eugene Onegin","2008-05-01T15:00:00.000"
"2057","556","249","6","1965","Chicago","2008-05-01T14:00:00.000"
"2058","3174","237","7","1965","Rosencrantz and Guildenstern Are Dead","2008-05-01T15:00:00.000"
"2059","4955","114","9","1965","Monsters of Rock","2008-05-01T15:00:00.000"
"2060","5838","115","9","1965","Tailgate 2008","2008-05-01T14:00:00.000"
"2061","577","243","6","1965","The Phantom of the Opera","2008-05-01T20:00:00.000"
"2062","1652","260","6","1965","Folies Bergere","2008-05-01T15:00:00.000"
"2063","4043","4","9","1965","Kanye West","2008-05-01T15:00:00.000"
"2064","4083","63","9","1965","N.E.R.D.","2008-05-01T14:30:00.000"
"2065","5706","3","9","1965","Josh Turner","2008-05-01T15:00:00.000"
"2066","6906","116","9","1965","Donna Summer","2008-05-01T14:00:00.000"
"2067","824","216","6","1966","Mamma Mia!","2008-05-01T14:00:00.000"
"2068","5584","11","9","1966","Ray Lamontagne","2008-05-01T15:00:00.000"
"2069","5946","15","9","1966","The Whigs","2008-05-01T15:00:00.000"
"2070","99","309","8","1966","La Boheme","2008-05-01T20:00:00.000"
"2071","6520","119","9","1966","Stone Temple Pilots","2008-05-01T15:00:00.000"
"2072","3274","215","7","1966","The 39 Steps","2008-05-01T20:00:00.000"
"2073","3761","217","7","1966","A Bronx Tale","2008-05-01T20:00:00.000"
"2074","3815","9","9","1966","Nas","2008-05-01T14:30:00.000"
"2075","7447","63","9","1966","Kansas","2008-05-01T19:00:00.000"
"2076","417","301","8","1967","Siegfried","2008-05-01T19:00:00.000"
"2077","8350","47","9","1967","Trace Adkins","2008-05-01T14:00:00.000"
"2078","718","235","6","1967","Pal Joey","2008-05-01T14:30:00.000"
"2079","782","236","6","1967","Grease","2008-05-01T19:30:00.000"
"2080","3198","247","7","1967","King Lear","2008-05-01T19:30:00.000"
"2081","3287","215","7","1967","Spring Awakening","2008-05-01T19:30:00.000"
"2082","4814","102","9","1967","Soulfest","2008-05-01T19:00:00.000"
"2083","5066","17","9","1967","Poison","2008-05-01T14:00:00.000"
"2084","5386","106","9","1967","Spoon","2008-05-01T14:00:00.000"
"2085","5617","14","9","1967","Ani DiFranco","2008-05-01T15:00:00.000"
"2086","7876","119","9","1967","Projekt Revolution","2008-05-01T19:30:00.000"
"2087","8525","109","9","1967","Tegan and Sara","2008-05-01T19:30:00.000"
"2088","1099","249","6","1967","Mamma Mia!","2008-05-01T15:00:00.000"
"2089","1704","251","6","1967","Mystere Cirque du Soleil","2008-05-01T19:00:00.000"
"2090","3553","212","7","1967","The 39 Steps","2008-05-01T14:30:00.000"
"2091","4952","109","9","1967","Michael McDonald","2008-05-01T19:00:00.000"
"2092","8056","60","9","1967","Serj Tankian","2008-05-01T15:00:00.000"
"2093","3911","82","9","1968","Al Green","2008-05-01T19:30:00.000"
"2094","5167","126","9","1968","Taylor Swift","2008-05-01T19:00:00.000"
"2095","7842","12","9","1968","Brand New","2008-05-01T14:00:00.000"
"2096","8322","51","9","1968","Rusted Root","2008-05-01T14:00:00.000"
"2097","986","212","6","1968","Pal Joey","2008-05-01T20:00:00.000"
"2098","2251","200","7","1968","The Tempest","2008-05-01T19:30:00.000"
"2099","3802","93","9","1968","Mariah Carey","2008-05-01T19:00:00.000"
"2100","4708","20","9","1968","Steve Winwood","2008-05-01T14:00:00.000"
"2101","1800","250","6","1968","Mystere Cirque du Soleil","2008-05-01T20:00:00.000"
"2102","6528","111","9","1968","Jonas Brothers","2008-05-01T19:00:00.000"
"2103","6614","32","9","1968","Neville Brothers","2008-05-01T15:00:00.000"
"2104","1107","229","6","1969","Kiss Me Kate","2008-05-01T14:00:00.000"
"2105","5765","7","9","1969","El Tri","2008-05-01T14:00:00.000"
"2106","4561","63","9","1969","Michael Buble","2008-05-01T19:00:00.000"
"2107","8654","48","9","1969","Neil Diamond","2008-05-01T14:00:00.000"
"2108","1773","262","6","1969","Mamma Mia!","2008-05-01T15:00:00.000"
"2109","7511","12","9","1969","Tom Petty and the Heartbreakers","2008-05-01T19:30:00.000"
"2110","7613","37","9","1969","Insane Clown Posse","2008-05-01T19:30:00.000"
"2111","7665","129","9","1969","Teddy Geiger","2008-05-01T19:30:00.000"
"2112","8554","42","9","1969","Mogwai","2008-05-01T19:00:00.000"
"2113","1623","251","6","1970","Zumanity","2008-05-01T14:00:00.000"
"2114","1706","259","6","1970","Spamalot","2008-05-01T15:00:00.000"
"2115","7488","34","9","1970","Cold War Kids","2008-05-01T19:30:00.000"
"2116","8385","116","9","1970","Dandy Warhols","2008-05-01T19:00:00.000"
"2117","8469","31","9","1970","Eric Clapton","2008-05-01T19:30:00.000"
"2118","268","306","8","1970","Thais","2008-05-01T20:00:00.000"
"2119","2245","244","7","1970","August: Osage County","2008-05-01T15:00:00.000"
"2120","3105","205","7","1970","The Country Girl","2008-05-01T19:00:00.000"
"2121","6496","2","9","1970","Gwen Stefani","2008-05-01T19:00:00.000"
"2122","2232","217","7","1970","Romeo and Juliet","2008-05-01T14:30:00.000"
"2123","6400","30","9","1970","English Beat","2008-05-01T15:00:00.000"
"2124","3606","242","7","1971","Hedda Gabler","2008-05-01T15:00:00.000"
"2125","8792","114","9","1971","Oliver Dragojevic","2008-05-01T19:00:00.000"
"2126","5717","130","9","1971","Zucchero","2008-05-01T19:30:00.000"
"2127","4965","48","9","1971","John Mellencamp","2008-05-01T19:30:00.000"
"2128","8574","127","9","1971","Dierks Bentley","2008-05-01T14:00:00.000"
"2129","256","305","8","1972","Gotterdammerung","2008-05-01T14:30:00.000"
"2130","1536","258","6","1972","Folies Bergere","2008-05-01T15:00:00.000"
"2131","1717","256","6","1972","Spamalot","2008-05-01T19:30:00.000"
"2132","4193","68","9","1972","Wisin y Yandel","2008-05-01T19:30:00.000"
"2133","4655","92","9","1972","Queensryche","2008-05-01T15:00:00.000"
"2134","4688","15","9","1972","America","2008-05-01T19:30:00.000"
"2135","6201","21","9","1972","Crue Fest","2008-05-01T14:00:00.000"
"2136","118","308","8","1972","The Fly","2008-05-01T19:00:00.000"
"2137","3360","203","7","1972","Rock 'n' Roll","2008-05-01T19:00:00.000"
"2138","4216","130","9","1972","Hootie and the Blowfish","2008-05-01T14:00:00.000"
"2139","4435","51","9","1972","Ryan Adams","2008-05-01T19:00:00.000"
"2140","324","304","8","1972","Cavalleria Rusticana and Pagliacci","2008-05-01T14:00:00.000"
"2141","3248","207","7","1972","Macbeth","2008-05-01T15:00:00.000"
"2142","4936","66","9","1972","Kiss","2008-05-01T14:00:00.000"
"2143","7472","106","9","1972","Dave Matthews Band","2008-05-01T14:00:00.000"
"2144","7473","129","9","1972","Projekt Revolution","2008-05-01T19:00:00.000"
"2145","7694","47","9","1972","Kenny G","2008-05-01T19:30:00.000"
"2146","2644","227","7","1973","Rock 'n' Roll","2008-05-01T19:00:00.000"
"2147","3300","249","7","1973","Waiting for Godot","2008-05-01T19:30:00.000"
"2148","3929","60","9","1973","Joe Satriani","2008-05-01T14:00:00.000"
"2149","7017","89","9","1973","Radiohead","2008-05-01T15:00:00.000"
"2150","7324","10","9","1973","Broken Social Scene","2008-05-01T19:00:00.000"
"2151","7798","27","9","1973","Madonna","2008-05-01T19:00:00.000"
"2152","653","242","6","1973","The Phantom of the Opera","2008-05-01T20:00:00.000"
"2153","4585","42","9","1973","Dj Tiesto","2008-05-01T14:30:00.000"
"2154","4619","6","9","1973","Trisha Yearwood","2008-05-01T15:00:00.000"
"2155","5673","128","9","1973","Lollapalooza","2008-05-01T15:00:00.000"
"2156","6301","9","9","1973","Gretchen Wilson","2008-05-01T19:00:00.000"
"2157","2235","209","7","1973","Uncle Vanya","2008-05-01T19:00:00.000"
"2158","5174","100","9","1973","Bette Midler","2008-05-01T19:00:00.000"
"2159","7300","19","9","1973","Joe Cocker","2008-05-01T19:00:00.000"
"2160","222","307","8","1974","The Magic Flute","2008-05-01T19:00:00.000"
"2161","1164","230","6","1974","High Society","2008-05-01T19:00:00.000"
"2162","1402","201","6","1974","Curtains","2008-05-01T15:00:00.000"
"2163","1551","253","6","1974","Blue Man Group","2008-05-01T20:00:00.000"
"2164","1830","243","7","1974","Rosencrantz and Guildenstern Are Dead","2008-05-01T14:00:00.000"
"2165","3913","12","9","1974","Bow Wow","2008-05-01T20:00:00.000"
"2166","1100","202","6","1974","Jersey Boys","2008-05-01T20:00:00.000"
"2167","1777","250","6","1974","Zumanity","2008-05-01T15:00:00.000"
"2168","3178","227","7","1974","Uncle Vanya","2008-05-01T14:00:00.000"
"2169","6452","38","9","1974","Natasha Bedingfield","2008-05-01T19:30:00.000"
"2170","7608","13","9","1974","Jerry Jeff Walker","2008-05-01T14:00:00.000"
"2171","7803","73","9","1974","English Beat","2008-05-01T15:00:00.000"
"2172","8560","49","9","1974","Tesla","2008-05-01T14:00:00.000"
"2173","1264","230","6","1974","Mamma Mia!","2008-05-01T14:00:00.000"
"2174","8161","126","9","1974","Danny Nova","2008-05-01T19:00:00.000"
"2175","320","304","8","1975","Die Walkure","2008-05-01T19:00:00.000"
