"index","salesid","listid","sellerid","buyerid","eventid","dateid","qtysold","pricepaid","commission","saletime"
"2956","149237","172816","27905","12596","4474","1852","4","680","102","2008-01-26T06:11:23.000"
"2957","128271","147029","4984","452","5312","1852","1","441","66.15","2008-01-26T12:20:52.000"
"2958","150589","174298","4225","18791","3195","1852","2","452","67.8","2008-01-26T08:53:46.000"
"2959","131027","150247","26843","2882","7398","1852","1","36","5.4","2008-01-26T09:04:29.000"
"2960","151966","175888","23049","21637","5111","1852","4","1116","167.4","2008-01-26T12:18:37.000"
"2961","131926","152355","27265","20906","6849","1852","2","634","95.1","2008-01-26T01:59:52.000"
"2962","152698","176703","24177","2963","6104","1852","1","498","74.7","2008-01-26T02:43:09.000"
"2963","137610","158957","6369","847","4033","1852","1","439","65.85","2008-01-26T12:16:43.000"
"2964","153282","177421","8986","7042","8458","1852","2","952","142.8","2008-01-26T02:07:33.000"
"2965","139890","161699","37729","12423","5657","1852","2","330","49.5","2008-01-26T09:02:49.000"
"2966","153748","177988","44406","4214","7231","1852","1","263","39.45","2008-01-26T10:48:46.000"
"2967","148389","171861","12855","16521","395","1852","2","422","63.3","2008-01-26T01:11:43.000"
"2968","158630","208807","43002","17283","5979","1852","3","5838","875.7","2008-01-26T05:57:09.000"
"2969","148829","172399","35641","2389","1641","1852","1","191","28.65","2008-01-26T09:58:15.000"
"2970","165892","222893","49709","1648","8737","1852","2","4970","745.5","2008-01-26T01:03:00.000"
"2971","150772","174501","32348","13412","834","1852","4","1796","269.4","2008-01-26T12:28:41.000"
"2972","165973","223022","14497","15120","4105","1852","1","2408","361.2","2008-01-26T02:43:43.000"
"2973","151612","175510","35461","5818","3599","1852","4","724","108.6","2008-01-26T05:15:22.000"
"2974","166589","224207","1409","10946","514","1852","2","1750","262.5","2008-01-26T02:33:56.000"
"2975","154082","178377","29965","5712","5687","1852","4","1968","295.2","2008-01-26T04:46:41.000"
"2976","166623","224283","35566","12908","2559","1852","4","6196","929.4","2008-01-26T03:23:52.000"
"2977","163293","218046","46790","11185","4924","1852","4","9436","1415.4","2008-01-26T12:28:53.000"
"2978","167103","225247","2106","10105","1833","1852","4","2520","378","2008-01-26T12:22:30.000"
"2979","166472","224004","22144","4451","3479","1852","1","682","102.3","2008-01-26T12:30:12.000"
"2980","169331","229517","36406","15728","5854","1852","1","1579","236.85","2008-01-26T09:41:23.000"
"2981","1298","1372","3343","11272","1281","1852","1","75","11.25","2008-01-26T08:23:01.000"
"2982","170036","230930","48623","13455","3021","1852","2","2638","395.7","2008-01-26T11:11:59.000"
"2983","4493","4837","48311","4224","7784","1852","4","804","120.6","2008-01-26T10:34:20.000"
"2984","4494","4837","48311","4777","7784","1852","2","402","60.3","2008-01-26T10:36:00.000"
"2985","5909","6416","49976","15126","2512","1852","1","31","4.65","2008-01-26T12:13:32.000"
"2986","10321","11252","31572","12624","1119","1852","1","179","26.85","2008-01-26T08:43:19.000"
"2987","11008","11936","13564","5618","7839","1852","1","165","24.75","2008-01-26T03:16:03.000"
"2988","14041","15194","3167","14556","8009","1852","1","53","7.95","2008-01-26T12:31:58.000"
"2989","19720","21355","14532","9767","6364","1852","2","74","11.1","2008-01-26T08:12:21.000"
"2990","26242","28649","45541","2532","1607","1852","3","141","21.15","2008-01-26T11:09:08.000"
"2991","28590","31245","25469","9799","1729","1852","4","1208","181.2","2008-01-26T08:12:56.000"
"2992","30973","34103","4217","8265","1864","1852","1","227","34.05","2008-01-26T05:23:13.000"
"2993","32387","35838","24223","11410","3463","1852","4","400","60","2008-01-26T07:53:43.000"
"2994","35002","38800","46752","16814","7269","1852","3","888","133.2","2008-01-26T09:03:58.000"
"2995","36350","40449","28261","2252","1221","1852","2","276","41.4","2008-01-26T11:49:01.000"
"2996","37738","42047","11067","13554","509","1852","1","158","23.7","2008-01-26T02:42:58.000"
"2997","39486","44063","44976","15131","6368","1852","2","442","66.3","2008-01-26T01:54:17.000"
"2998","39942","44614","6077","15450","3828","1852","1","225","33.75","2008-01-26T10:29:12.000"
"2999","40111","44805","34147","18882","6641","1852","3","288","43.2","2008-01-26T01:58:56.000"
"3000","44832","50437","25113","5499","7272","1852","1","304","45.6","2008-01-26T05:41:42.000"
"3001","53085","59903","20706","14308","3659","1852","4","1556","233.4","2008-01-26T08:19:47.000"
"3002","55389","62498","21931","17039","7537","1852","1","26","3.9","2008-01-26T05:36:47.000"
"3003","55937","63102","19781","8854","7230","1852","2","194","29.1","2008-01-26T04:49:43.000"
"3004","57901","65538","29050","5633","6880","1852","2","940","141","2008-01-26T01:35:37.000"
"3005","57902","65538","29050","5441","6880","1852","1","470","70.5","2008-01-26T01:35:37.000"
"3006","60119","68057","26633","11408","3780","1852","4","1236","185.4","2008-01-26T02:59:05.000"
"3007","60222","68175","45659","5463","8524","1852","2","832","124.8","2008-01-26T03:02:57.000"
"3008","61479","69652","38043","8002","1135","1852","1","279","41.85","2008-01-26T03:51:43.000"
"3009","61563","69761","42095","1280","3418","1852","3","360","54","2008-01-26T03:55:11.000"
"3010","61704","69940","49631","14458","654","1852","4","860","129","2008-01-26T04:01:18.000"
"3011","68300","77619","43276","17372","2742","1852","1","439","65.85","2008-01-26T08:08:21.000"
"3012","72757","82991","27203","6424","5152","1852","4","472","70.8","2008-01-26T10:53:18.000"
"3013","72937","83213","29805","4157","7493","1852","2","544","81.6","2008-01-26T10:59:15.000"
"3014","73259","83589","30709","20626","6772","1852","4","536","80.4","2008-01-26T11:11:51.000"
"3015","75022","85632","32241","4464","920","1852","2","396","59.4","2008-01-26T12:19:25.000"
"3016","79155","90371","38226","14260","6415","1852","4","116","17.4","2008-01-26T09:30:15.000"
"3017","79571","90882","20275","16615","5542","1852","2","528","79.2","2008-01-26T04:37:41.000"
"3018","79986","91346","46805","12163","5574","1852","1","419","62.85","2008-01-26T12:45:47.000"
"3019","84834","96817","5602","17533","1201","1852","1","33","4.95","2008-01-26T01:14:25.000"
"3020","86072","98269","49766","2283","2237","1852","2","790","118.5","2008-01-26T02:03:50.000"
"3021","86865","99172","24148","18271","8614","1852","4","768","115.2","2008-01-26T05:11:21.000"
"3022","87899","100382","41963","6880","4420","1852","1","337","50.55","2008-01-26T12:32:32.000"
"3023","91592","104511","47830","19716","5362","1852","1","187","28.05","2008-01-26T10:57:41.000"
"3024","98546","112589","25841","6247","6870","1852","1","53","7.95","2008-01-26T06:11:51.000"
"3025","110264","126285","22773","10289","3451","1852","3","1401","210.15","2008-01-26T10:31:34.000"
"3026","114422","131053","13708","12708","8534","1852","2","328","49.2","2008-01-26T04:55:36.000"
"3027","115232","131908","16826","15556","5431","1852","4","160","24","2008-01-26T09:40:34.000"
"3028","119087","136392","24890","8074","7256","1852","3","1335","200.25","2008-01-26T12:30:42.000"
"3029","126169","144493","33401","14452","6108","1852","3","84","12.6","2008-01-26T02:14:16.000"
"3030","126922","145374","9333","19042","4617","1852","1","77","11.55","2008-01-26T06:48:40.000"
"3031","130425","149528","36250","14972","397","1852","2","746","111.9","2008-01-26T09:43:27.000"
"3032","136797","158006","14553","1787","1384","1852","1","373","55.95","2008-01-26T08:56:01.000"
"3033","138083","159510","9628","8979","8494","1852","4","304","45.6","2008-01-26T09:02:56.000"
"3034","138342","159810","49920","287","6306","1852","4","1948","292.2","2008-01-26T02:12:44.000"
"3035","139693","161441","32517","8002","8184","1852","4","636","95.4","2008-01-26T04:44:45.000"
"3036","143839","166525","35604","14311","3468","1852","3","150","22.5","2008-01-26T12:00:10.000"
"3037","148006","171384","30689","17763","4787","1852","2","360","54","2008-01-26T05:55:28.000"
"3038","148250","171686","35575","9971","649","1852","4","1468","220.2","2008-01-26T10:36:11.000"
"3039","150237","173899","15906","13957","730","1852","2","152","22.8","2008-01-26T02:23:33.000"
"3040","150604","174320","11747","18635","7002","1852","1","165","24.75","2008-01-26T09:05:01.000"
"3041","156352","181003","46243","6277","4744","1852","2","980","147","2008-01-26T10:45:24.000"
"3042","157238","205976","4602","8444","8221","1852","2","4966","744.9","2008-01-26T03:21:17.000"
"3043","162855","217179","35759","10493","7094","1852","2","3962","594.3","2008-01-26T04:10:59.000"
"3044","167361","225756","41132","14491","7731","1852","1","698","104.7","2008-01-26T04:55:27.000"
"3045","169666","230166","11046","170","5065","1852","1","2350","352.5","2008-01-26T03:36:41.000"
"3046","3541","3823","28835","941","8703","1853","2","72","10.8","2008-01-27T08:54:36.000"
"3047","1710","1825","45077","21903","3181","1853","4","472","70.8","2008-01-27T01:27:14.000"
"3048","4912","5273","24685","22162","383","1853","1","79","11.85","2008-01-27T01:45:12.000"
"3049","11901","12871","4760","19795","4881","1853","1","233","34.95","2008-01-27T12:58:42.000"
"3050","7513","8146","30981","2193","8222","1853","2","332","49.8","2008-01-27T05:02:04.000"
"3051","16490","17839","31694","17193","563","1853","2","420","63","2008-01-27T05:33:31.000"
"3052","9852","10708","33928","3896","4973","1853","1","215","32.25","2008-01-27T09:23:01.000"
"3053","17839","19342","17301","20028","2038","1853","3","435","65.25","2008-01-27T08:40:22.000"
"3054","10370","11292","48103","11720","2609","1853","1","174","26.1","2008-01-27T10:05:48.000"
"3055","21288","23221","44133","4005","3759","1853","2","66","9.9","2008-01-27T01:45:01.000"
"3056","11379","12342","7546","19353","6508","1853","2","48","7.2","2008-01-27T12:16:38.000"
"3057","22442","24344","24129","15949","5876","1853","4","240","36","2008-01-27T11:19:14.000"
"3058","11687","12625","15778","12053","7306","1853","2","324","48.6","2008-01-27T07:46:58.000"
"3059","26887","29312","18477","530","8345","1853","1","45","6.75","2008-01-27T11:53:45.000"
"3060","13061","14077","33204","14124","1930","1853","1","81","12.15","2008-01-27T03:36:33.000"
"3061","27156","29611","36231","11044","747","1853","1","164","24.6","2008-01-27T05:01:03.000"
"3062","16273","17611","7242","15242","8285","1853","2","248","37.2","2008-01-27T01:10:38.000"
"3063","31646","34936","2324","5551","6302","1853","4","360","54","2008-01-27T06:19:58.000"
"3064","19847","21473","9491","2100","6782","1853","4","476","71.4","2008-01-27T10:45:38.000"
"3065","35248","39122","40069","13028","2197","1853","2","606","90.9","2008-01-27T01:46:07.000"
"3066","20822","22643","32481","7210","1292","1853","4","168","25.2","2008-01-27T04:49:34.000"
"3067","38859","43319","19881","15806","6028","1853","2","290","43.5","2008-01-27T01:22:38.000"
"3068","27203","29660","37685","17415","2683","1853","1","158","23.7","2008-01-27T05:59:51.000"
"3069","41533","46529","38438","11006","1274","1853","1","150","22.5","2008-01-27T04:00:00.000"
"3070","27763","30294","10969","16038","834","1853","2","140","21","2008-01-27T04:15:35.000"
"3071","43618","49034","29462","19084","351","1853","2","456","68.4","2008-01-27T07:04:56.000"
"3072","29378","32191","20625","112","3363","1853","1","228","34.2","2008-01-27T11:22:43.000"
"3073","45434","51120","21987","8320","3765","1853","2","256","38.4","2008-01-27T05:26:22.000"
"3074","33079","36558","29455","5009","8578","1853","1","124","18.6","2008-01-27T09:17:02.000"
"3075","45761","51504","44625","5934","4437","1853","1","271","40.65","2008-01-27T11:42:37.000"
"3076","33633","37180","42695","1874","4262","1853","3","339","50.85","2008-01-27T07:53:00.000"
"3077","47442","53512","9374","8123","6808","1853","2","168","25.2","2008-01-27T08:22:17.000"
"3078","34413","38103","36847","4494","5463","1853","1","290","43.5","2008-01-27T09:32:06.000"
"3079","48586","54905","3488","5221","2669","1853","1","87","13.05","2008-01-27T06:54:21.000"
"3080","34575","38301","1842","850","2730","1853","4","1376","206.4","2008-01-27T12:58:30.000"
"3081","49093","55465","25043","1564","6364","1853","2","358","53.7","2008-01-27T04:24:50.000"
"3082","35610","39554","48057","8374","3065","1853","2","222","33.3","2008-01-27T08:57:16.000"
"3083","49174","55542","34871","18618","563","1853","2","462","69.3","2008-01-27T05:54:06.000"
"3084","36084","40155","6899","1693","1513","1853","2","642","96.3","2008-01-27T06:32:19.000"
"3085","49604","55982","1750","16117","7939","1853","1","234","35.1","2008-01-27T02:34:30.000"
"3086","37449","41725","14209","20899","8650","1853","3","171","25.65","2008-01-27T09:21:02.000"
"3087","56958","64385","7704","9345","6598","1853","2","618","92.7","2008-01-27T01:00:17.000"
"3088","37458","41734","8408","14236","3709","1853","4","96","14.4","2008-01-27T09:27:39.000"
"3089","57296","64804","26301","10999","1491","1853","2","672","100.8","2008-01-27T01:12:30.000"
"3090","38331","42713","32309","10519","8573","1853","2","274","41.1","2008-01-27T03:05:11.000"
"3091","57297","64804","26301","10841","1491","1853","1","336","50.4","2008-01-27T01:12:33.000"
"3092","43734","49153","2645","16236","4577","1853","2","502","75.3","2008-01-27T09:19:30.000"
"3093","57589","65159","34544","6902","6025","1853","2","612","91.8","2008-01-27T01:24:05.000"
"3094","44876","50476","1293","1106","8278","1853","1","348","52.2","2008-01-27T06:35:01.000"
"3095","61562","69761","42095","2076","3418","1853","2","240","36","2008-01-27T03:55:08.000"
"3096","49292","55662","37178","15023","5456","1853","2","650","97.5","2008-01-27T08:13:52.000"
"3097","63554","72025","42401","12472","2482","1853","1","211","31.65","2008-01-27T05:09:46.000"
"3098","50034","56493","46709","2564","4342","1853","4","760","114","2008-01-27T10:39:07.000"
"3099","64215","72786","24478","2500","4567","1853","1","154","23.1","2008-01-27T05:34:44.000"
"3100","60207","68150","22903","20495","4436","1853","2","588","88.2","2008-01-27T03:02:36.000"
"3101","64450","73047","2087","2347","2260","1853","4","1452","217.8","2008-01-27T05:43:38.000"
"3102","61877","70122","27990","3720","3426","1853","4","532","79.8","2008-01-27T04:07:24.000"
"3103","64700","73330","35996","3856","2919","1853","1","205","30.75","2008-01-27T05:53:02.000"
"3104","70293","79934","27844","16179","5901","1853","3","1164","174.6","2008-01-27T09:21:49.000"
"3105","67535","76697","13152","11304","1905","1853","5","1635","245.25","2008-01-27T07:40:06.000"
"3106","74697","85268","15159","12226","2000","1853","2","796","119.4","2008-01-27T12:07:12.000"
"3107","68608","77990","12106","9842","5784","1853","1","140","21","2008-01-27T08:18:43.000"
"3108","76247","87078","37407","3525","8580","1853","4","220","33","2008-01-27T02:51:30.000"
"3109","69207","78701","35619","2554","1786","1853","1","87","13.05","2008-01-27T08:40:55.000"
"3110","80332","91740","2433","5365","3974","1853","2","592","88.8","2008-01-27T07:35:07.000"
"3111","70079","79689","4455","17387","5447","1853","1","226","33.9","2008-01-27T09:13:30.000"
"3112","81650","93110","48456","572","7307","1853","2","600","90","2008-01-27T10:29:08.000"
"3113","72649","82864","46841","13909","8139","1853","1","472","70.8","2008-01-27T10:49:12.000"
"3114","83557","95293","8538","5006","5414","1853","1","216","32.4","2008-01-27T11:11:26.000"
"3115","76963","87946","42435","18375","3820","1853","1","20","3","2008-01-27T03:38:51.000"
"3116","84074","95907","47063","3014","2814","1853","3","684","102.6","2008-01-27T09:42:59.000"
"3117","86817","99117","45666","5088","5331","1853","4","100","15","2008-01-27T04:19:47.000"
"3118","85266","97327","23192","14420","5414","1853","1","86","12.9","2008-01-27T09:47:22.000"
"3119","99297","113506","12694","4068","5501","1853","2","368","55.2","2008-01-27T10:59:16.000"
"3120","90493","103305","27318","16978","4344","1853","2","996","149.4","2008-01-27T01:57:05.000"
"3121","99957","114260","47722","15745","4118","1853","1","243","36.45","2008-01-27T01:57:02.000"
"3122","93212","106407","48168","9200","4991","1853","1","427","64.05","2008-01-27T05:34:39.000"
"3123","100936","115427","36599","13649","8479","1853","2","244","36.6","2008-01-27T12:55:58.000"
"3124","94631","108048","37306","3144","7586","1853","2","462","69.3","2008-01-27T08:34:49.000"
"3125","102844","117633","25195","10618","6086","1853","2","334","50.1","2008-01-27T01:21:30.000"
"3126","95668","109228","14958","6159","6820","1853","2","980","147","2008-01-27T05:33:22.000"
"3127","105226","120405","10477","20851","8268","1853","4","784","117.6","2008-01-27T06:37:34.000"
"3128","96013","109600","36297","11077","566","1853","1","122","18.3","2008-01-27T12:59:23.000"
"3129","112638","129068","45179","22409","3698","1853","2","708","106.2","2008-01-27T06:30:27.000"
"3130","97284","111061","15814","16945","2564","1853","1","85","12.75","2008-01-27T04:38:10.000"
"3131","114731","131392","10246","7434","6904","1853","2","254","38.1","2008-01-27T04:23:50.000"
"3132","98228","112221","30278","11494","2640","1853","1","472","70.8","2008-01-27T12:16:06.000"
"3133","116161","133015","27322","8450","1745","1853","1","66","9.9","2008-01-27T08:52:51.000"
"3134","98830","112948","28545","7966","5097","1853","1","328","49.2","2008-01-27T12:32:07.000"
"3135","129893","148955","9677","22450","4595","1853","4","1112","166.8","2008-01-27T10:22:28.000"
"3136","101659","116259","11524","9716","7529","1853","1","77","11.55","2008-01-27T06:56:31.000"
"3137","130710","149876","7431","16157","8703","1853","2","126","18.9","2008-01-27T02:43:56.000"
"3138","103262","118083","26088","17717","5979","1853","2","894","134.1","2008-01-27T11:51:38.000"
"3139","135587","156628","21377","11851","6163","1853","2","70","10.5","2008-01-27T11:02:09.000"
"3140","105180","120358","26721","16769","3497","1853","2","934","140.1","2008-01-27T05:33:14.000"
"3141","137246","158551","37240","2501","5557","1853","1","41","6.15","2008-01-27T05:14:12.000"
"3142","105920","121212","27334","13926","3188","1853","4","1624","243.6","2008-01-27T02:19:52.000"
"3143","138158","159615","7604","15369","7042","1853","4","924","138.6","2008-01-27T10:24:14.000"
"3144","110440","126487","21433","1992","5829","1853","2","278","41.7","2008-01-27T06:43:56.000"
"3145","144047","166749","1303","21421","7002","1853","3","588","88.2","2008-01-27T03:34:00.000"
"3146","110712","126827","23635","22305","3590","1853","4","1068","160.2","2008-01-27T07:57:37.000"
"3147","148369","171838","37430","18921","1259","1853","1","346","51.9","2008-01-27T12:51:34.000"
"3148","113089","129563","43581","7710","7375","1853","2","774","116.1","2008-01-27T07:26:34.000"
"3149","150161","173793","14787","12823","8009","1853","1","24","3.6","2008-01-27T12:55:25.000"
"3150","113858","130433","46333","20651","6884","1853","2","478","71.7","2008-01-27T04:40:02.000"
"3151","151643","175542","47123","188","3111","1853","2","722","108.3","2008-01-27T05:49:59.000"
"3152","115812","132597","38119","10350","4577","1853","2","522","78.3","2008-01-27T04:01:24.000"
"3153","153186","177321","45994","8189","5253","1853","1","185","27.75","2008-01-27T12:06:44.000"
"3154","116871","133818","27263","10102","1026","1853","1","343","51.45","2008-01-27T03:37:51.000"
"3155","153471","177659","12269","18600","5456","1853","2","726","108.9","2008-01-27T05:35:15.000"
"3156","117590","134647","40745","160","4735","1853","2","372","55.8","2008-01-27T08:01:15.000"
"3157","154331","178664","49757","15200","2864","1853","1","98","14.7","2008-01-27T08:47:53.000"
"3158","120613","138076","17759","2503","4957","1853","1","225","33.75","2008-01-27T02:45:44.000"
"3159","156013","180638","43821","7181","1538","1853","2","282","42.3","2008-01-27T04:41:50.000"
"3160","122290","140006","33769","13858","2071","1853","1","475","71.25","2008-01-27T02:55:46.000"
"3161","158482","208491","23730","6811","5743","1853","2","2424","363.6","2008-01-27T03:10:17.000"
"3162","124044","142043","29978","1522","3724","1853","1","412","61.8","2008-01-27T11:33:19.000"
"3163","160622","212999","3035","11529","6884","1853","1","1756","263.4","2008-01-27T08:36:46.000"
"3164","124564","142660","37572","2374","7222","1853","2","690","103.5","2008-01-27T12:45:25.000"
"3165","160707","213154","16491","10297","7460","1853","1","1689","253.35","2008-01-27T10:14:18.000"
"3166","132456","152961","7188","5993","1898","1853","3","1464","219.6","2008-01-27T12:01:51.000"
"3167","162250","216135","23573","10753","5980","1853","4","2636","395.4","2008-01-27T04:18:04.000"
"3168","139329","161018","33467","21943","356","1853","4","736","110.4","2008-01-27T09:29:24.000"
"3169","163705","218786","12126","20116","5598","1853","1","426","63.9","2008-01-27T07:42:05.000"
"3170","139330","161018","33467","22024","356","1853","2","368","55.2","2008-01-27T09:32:56.000"
"3171","165454","222067","36926","9421","7673","1853","2","2862","429.3","2008-01-27T04:53:42.000"
"3172","140623","162607","15172","11612","6031","1853","2","748","112.2","2008-01-27T10:43:42.000"
"3173","166131","223367","17844","17943","7380","1853","2","4992","748.8","2008-01-27T05:37:52.000"
"3174","142188","164500","32013","13890","2341","1853","1","358","53.7","2008-01-27T04:38:54.000"
"3175","166139","223384","10383","16426","2192","1853","1","887","133.05","2008-01-27T05:46:45.000"
"3176","143821","166514","34919","19341","8793","1853","1","238","35.7","2008-01-27T11:45:37.000"
"3177","13224","14285","34058","14067","3418","1853","1","228","34.2","2008-01-27T06:49:22.000"
"3178","144135","166855","38802","10740","1928","1853","2","498","74.7","2008-01-27T05:17:36.000"
"3179","15082","16328","44143","2565","1995","1853","2","230","34.5","2008-01-27T12:00:06.000"
"3180","145095","167979","24337","4187","4804","1853","2","780","117","2008-01-27T11:42:18.000"
"3181","26512","28924","44899","15081","3380","1853","4","496","74.4","2008-01-27T04:27:31.000"
"3182","150349","174010","19845","5540","1346","1853","3","687","103.05","2008-01-27T04:31:32.000"
"3183","27065","29513","7662","6170","2171","1853","2","124","18.6","2008-01-27T03:16:21.000"
"3184","156553","181238","26700","16856","5034","1853","1","363","54.45","2008-01-27T02:25:36.000"
"3185","32677","36099","30058","2820","2618","1853","4","332","49.8","2008-01-27T01:31:56.000"
"3186","162173","215976","11490","1362","5430","1853","1","1305","195.75","2008-01-27T02:46:36.000"
"3187","37164","41403","24966","7597","3901","1853","3","900","135","2008-01-27T04:05:28.000"
"3188","162504","216572","28902","12098","5111","1853","1","1600","240","2008-01-27T09:21:28.000"
"3189","39110","43602","23234","6144","5883","1853","2","652","97.8","2008-01-27T06:32:28.000"
"3190","163775","218925","2233","20444","3209","1853","2","4438","665.7","2008-01-27T08:39:50.000"
"3191","40590","45392","31286","15359","2343","1853","1","25","3.75","2008-01-27T11:03:52.000"
"3192","168070","227098","36911","11363","2676","1853","1","880","132","2008-01-27T07:03:18.000"
"3193","44175","49666","11313","5449","4231","1853","3","744","111.6","2008-01-27T05:01:36.000"
"3194","168454","227845","40651","6245","195","1853","2","1796","269.4","2008-01-27T03:19:43.000"
"3195","48467","54777","47806","2011","1405","1853","1","345","51.75","2008-01-27T04:34:38.000"
"3196","50773","57286","20738","10830","8095","1853","1","32","4.8","2008-01-27T12:03:06.000"
"3197","52814","59595","9031","10211","3590","1853","4","1932","289.8","2008-01-27T02:49:55.000"
"3198","55750","62892","34880","4656","1660","1853","2","692","103.8","2008-01-27T01:02:53.000"
"3199","56054","63217","42016","14645","1724","1853","1","41","6.15","2008-01-27T07:16:29.000"
"3200","56686","64051","49045","706","8425","1853","1","97","14.55","2008-01-27T07:45:16.000"
"3201","58053","65710","39822","8513","4390","1853","4","436","65.4","2008-01-27T01:41:22.000"
"3202","63678","72160","5672","17896","4730","1853","1","24","3.6","2008-01-27T05:13:42.000"
"3203","68773","78199","2568","19593","6868","1853","4","1784","267.6","2008-01-27T08:25:37.000"
"3204","69980","79600","32154","2141","8104","1853","1","141","21.15","2008-01-27T09:10:15.000"
"3205","74536","85059","13433","816","2412","1853","3","894","134.1","2008-01-27T12:00:44.000"
"3206","75639","86376","8022","4150","2192","1853","4","1152","172.8","2008-01-27T12:41:29.000"
"3207","77345","88326","13451","17596","5883","1853","4","1144","171.6","2008-01-27T11:37:48.000"
"3208","80022","91390","43590","3159","8656","1853","1","414","62.1","2008-01-27T01:29:22.000"
"3209","84781","96757","28114","8570","115","1853","2","840","126","2008-01-27T12:16:46.000"
"3210","89366","102044","48418","3418","5331","1853","3","1137","170.55","2008-01-27T03:58:59.000"
"3211","93384","106658","37832","4223","4194","1853","4","832","124.8","2008-01-27T09:02:13.000"
"3212","94910","108350","38514","338","8455","1853","1","472","70.8","2008-01-27T02:34:45.000"
"3213","96082","109707","14355","8456","3189","1853","1","118","17.7","2008-01-27T02:25:21.000"
"3214","96660","110321","28271","3536","7493","1853","1","190","28.5","2008-01-27T03:19:47.000"
"3215","96948","110661","5684","12202","1080","1853","1","396","59.4","2008-01-27T09:24:53.000"
"3216","97649","111506","19503","14531","8328","1853","1","62","9.3","2008-01-27T12:07:15.000"
"3217","98224","112220","20189","7550","1106","1853","4","1252","187.8","2008-01-27T12:09:41.000"
"3218","117994","135151","46678","6272","7317","1853","1","421","63.15","2008-01-27T11:05:47.000"
"3219","120745","138223","22192","20300","7598","1853","1","44","6.6","2008-01-27T06:56:27.000"
"3220","127569","146179","19817","3095","4231","1853","2","986","147.9","2008-01-27T08:59:55.000"
"3221","135352","156378","35310","5011","2835","1853","1","496","74.4","2008-01-27T06:36:55.000"
"3222","139250","160921","41365","13371","2390","1853","4","1524","228.6","2008-01-27T07:50:22.000"
"3223","143993","166704","38923","20560","1326","1853","4","1192","178.8","2008-01-27T02:43:41.000"
"3224","152009","175936","11959","9198","6169","1853","1","215","32.25","2008-01-27T12:53:45.000"
"3225","154870","179299","49349","4325","6030","1853","1","431","64.65","2008-01-27T07:11:28.000"
"3226","155668","180198","49503","12137","3978","1853","3","216","32.4","2008-01-27T10:04:21.000"
"3227","156295","180931","29096","14967","5837","1853","1","295","44.25","2008-01-27T09:42:57.000"
"3228","156709","181425","25040","10430","4761","1853","2","40","6","2008-01-27T05:42:25.000"
"3229","159243","209996","5560","2204","2092","1853","2","3440","516","2008-01-27T05:37:37.000"
"3230","159524","210978","10154","13923","4262","1853","1","2038","305.7","2008-01-27T11:37:26.000"
"3231","161715","215129","24349","2194","4691","1853","1","860","129","2008-01-27T06:12:22.000"
"3232","166104","223291","48992","780","4689","1853","2","4406","660.9","2008-01-27T05:09:42.000"
"3233","171568","233877","31832","8020","5034","1853","1","1878","281.7","2008-01-27T01:54:10.000"
"3234","172193","234979","4809","15658","5532","1853","1","1160","174","2008-01-27T02:17:12.000"
"3235","413","411","2398","2635","3463","1854","4","604","90.6","2008-01-28T09:20:53.000"
"3236","1952","2100","17934","7642","7319","1854","1","186","27.9","2008-01-28T03:07:46.000"
"3237","2274","2451","16059","13987","5658","1854","2","220","33","2008-01-28T09:12:14.000"
"3238","3043","3249","7716","11943","3512","1854","4","752","112.8","2008-01-28T10:50:03.000"
"3239","2466","2642","5094","3382","7147","1854","3","612","91.8","2008-01-28T07:41:04.000"
"3240","5545","5995","22687","2455","6841","1854","3","282","42.3","2008-01-28T11:33:02.000"
"3241","2823","3023","19447","2725","2006","1854","2","176","26.4","2008-01-28T12:53:52.000"
"3242","7598","8224","31449","22855","313","1854","2","314","47.1","2008-01-28T07:35:50.000"
"3243","4309","4653","4949","17071","6241","1854","1","205","30.75","2008-01-28T03:52:27.000"
"3244","12228","13206","41634","13851","4607","1854","4","320","48","2008-01-28T08:09:08.000"
"3245","8380","9009","40560","9919","7337","1854","2","294","44.1","2008-01-28T06:37:38.000"
"3246","12339","13320","6382","10586","6594","1854","4","192","28.8","2008-01-28T10:38:03.000"
"3247","13262","14320","3477","22293","4910","1854","3","135","20.25","2008-01-28T07:49:15.000"
"3248","18544","20103","43296","13576","6519","1854","2","266","39.9","2008-01-28T10:01:54.000"
"3249","20568","22322","37727","8534","789","1854","2","122","18.3","2008-01-28T12:02:50.000"
"3250","19815","21439","48346","19413","6686","1854","2","360","54","2008-01-28T10:06:51.000"
"3251","21439","23362","25083","6754","51","1854","3","105","15.75","2008-01-28T04:29:57.000"
"3252","20023","21683","12250","17132","2524","1854","2","298","44.7","2008-01-28T02:02:45.000"
"3253","23924","26165","4204","14365","613","1854","2","374","56.1","2008-01-28T02:17:02.000"
"3254","20024","21683","12250","16857","2524","1854","1","149","22.35","2008-01-28T02:03:58.000"
"3255","25957","28388","47492","20572","5931","1854","3","732","109.8","2008-01-28T05:15:58.000"
"3256","21569","23487","19440","4474","5011","1854","2","284","42.6","2008-01-28T07:11:03.000"
"3257","30122","33029","48368","845","6863","1854","2","416","62.4","2008-01-28T01:42:24.000"
"3258","31527","34796","16866","12274","6052","1854","1","126","18.9","2008-01-28T04:13:38.000"
"3259","31789","35107","30751","22691","2388","1854","2","234","35.1","2008-01-28T09:02:18.000"
